,feat,imp
0,CSNY,0
1,ZHIYE,0
2,DWSSHY,0
3,bornmonth,0
4,DWJJLX_DWSSHY_count,0
5,DWJJLX_in_DWSSHY_prop,0
6,DWSSHY_in_DWJJLX_prop,0
7,DWJJLX_GRZHZT_count,0
8,DWJJLX_XINGBIE_count,0
9,DWJJLX_in_XINGBIE_prop,0
10,XINGBIE_in_DWJJLX_prop,0
11,DWJJLX_TOP_USER_count,0
12,DWJJLX_in_TOP_USER_prop,0
13,DWJJLX_in_WITHSIGN_prop,0
14,WITHSIGN_in_DWJJLX_prop,0
15,DWJJLX_GJJRATE_count,0
16,GJJRATE_in_DWJJLX_prop,0
17,GJSIGN_in_DWJJLX_prop,0
18,DWJJLX_in_ZHIYE_prop,0
19,ZHIYE_in_DWJJLX_prop,0
20,DWJJLX_ZHICHEN_count,0
21,ZHICHEN_in_DWJJLX_prop,0
22,DWSSHY_GRZHZT_count,0
23,XINGBIE_in_DWSSHY_prop,0
24,NOUSAGE_in_DWSSHY_prop,0
25,DWSSHY_TOP_USER_count,0
26,DWSSHY_in_TOP_USER_prop,0
27,TOP_USER_in_DWSSHY_prop,0
28,DWSSHY_WITHSIGN_count,0
29,WITHSIGN_in_DWSSHY_prop,0
30,DWSSHY_GJJRATE_count,0
31,DWSSHY_in_GJJRATE_prop,0
32,GJJRATE_in_DWSSHY_prop,0
33,GJSIGN_in_DWSSHY_prop,0
34,WITHSIGN2_in_DWSSHY_prop,0
35,DWSSHY_ZHIYE_count,0
36,DWSSHY_in_ZHIYE_prop,0
37,GRZHZT_XINGBIE_count,0
38,XINGBIE_in_GRZHZT_prop,0
39,GRZHZT_in_ZHICHEN_prop,0
40,XINGBIE_in_NOUSAGE_prop,0
41,NOUSAGE_in_XINGBIE_prop,0
42,XINGBIE_in_TOP_USER_prop,0
43,TOP_USER_in_XINGBIE_prop,0
44,XINGBIE_in_WITHSIGN_prop,0
45,WITHSIGN_in_XINGBIE_prop,0
46,XINGBIE_in_GJJRATE_prop,0
47,GJJRATE_in_XINGBIE_prop,0
48,XINGBIE_in_GJSIGN_prop,0
49,GJSIGN_in_XINGBIE_prop,0
50,XINGBIE_in_WITHSIGN2_prop,0
51,XINGBIE_ZHIYE_count,0
52,XINGBIE_ZHICHEN_count,0
53,USAGEOVER_ZHIYE_count,0
54,USAGEOVER_ZHICHEN_count,0
55,TOP_USER_ZHIYE_count,0
56,GJJRATE_ZHIYE_count,0
57,WITHSIGN2_ZHIYE_count,0
58,WITHSIGN2_ZHICHEN_count,0
59,WITHSIGN2_in_ZHICHEN_prop,0
60,ZHIYE_in_ZHICHEN_prop,0
61,DWJJLX_DKLL_mean,0
62,DWSSHY_DKYE_mean,0
63,DWSSHY_TOP_USER_std,0
64,GRZHZT_GRZHYE_mean,0
65,XINGBIE_GRZHSNJZYE_std,0
66,XINGBIE_GRZHDNGJYE_mean,0
67,XINGBIE_GRZHDNGJYE_std,0
68,XINGBIE_GRZHDNGJYE_min,0
69,XINGBIE_GRYJCE_min,0
70,XINGBIE_YEARPURINCM_mean,0
71,XINGBIE_YEARPURINCM_min,0
72,XINGBIE_HDZYF_min,0
73,XINGBIE_HDZYFZE_std,0
74,XINGBIE_HDSYYFZE_std,0
75,XINGBIE_USAGE_RATE_mean,0
76,XINGBIE_GJJRATE_mean,0
77,XINGBIE_TOP_USER_std,0
78,XINGBIE_TOP_USER_max,0
79,XINGBIE_TOP_USER1_mean,0
80,XINGBIE_TOP_USER1_std,0
81,XINGBIE_WITHDRAW_mean,0
82,XINGBIE_WITHDRAW_SUBMIT_mean,0
83,XINGBIE_WITHDRAW_SUBMIT_std,0
84,XINGBIE_DKXE_max,0
85,ZHIYE_GRJCJS_mean,0
86,ZHIYE_GRJCJS_max,0
87,ZHIYE_GRJCJS_min,0
88,ZHIYE_GRZHYE_mean,0
89,ZHIYE_GRZHYE_std,0
90,ZHIYE_GRZHYE_max,0
91,ZHIYE_GRZHYE_min,0
92,ZHIYE_GRZHDNGJYE_max,0
93,ZHIYE_GRZHDNGJYE_min,0
94,ZHIYE_GRYJCE_std,0
95,ZHIYE_GRYJCE_max,0
96,ZHIYE_GRYJCE_min,0
97,ZHIYE_DKFFE_mean,0
98,ZHIYE_DKFFE_std,0
99,ZHIYE_DKYE_mean,0
100,ZHIYE_DKYE_max,0
101,ZHIYE_DKYE_min,0
102,ZHIYE_DKLL_mean,0
103,ZHIYE_DKLL_min,0
104,ZHIYE_YEARPURINCM_mean,0
105,ZHIYE_YEARPURINCM_max,0
106,ZHIYE_HDZYF_min,0
107,ZHIYE_HDSYYF_mean,0
108,ZHIYE_HDYF_mean,0
109,ZHIYE_HDZYFZE_max,0
110,ZHIYE_HDZYFZE_min,0
111,ZHIYE_GJJRATE_max,0
112,ZHIYE_TOP_USER1_max,0
113,ZHIYE_WITHDRAW_max,0
114,ZHIYE_USAGE_AMOUNT_mean,0
115,ZHIYE_USAGE_AMOUNT_std,0
116,ZHIYE_USAGE_AMOUNT_max,0
117,ZHIYE_DKXE_max,0
118,ZHICHEN_GRZHDNGJYE_min,0
119,ZHICHEN_DKXE_min,0
120,DKYE_genFeat1_GRZHYE_max,0
121,DKYE_genFeat1_GRZHYE_min,0
122,DKYE_genFeat1_GRZHSNJZYE_max,0
123,DKYE_genFeat1_GRZHSNJZYE_min,0
124,DKYE_genFeat1_GRZHDNGJYE_min,0
125,DKYE_genFeat1_DKFFE_max,0
126,DKYE_genFeat1_HDYF_min,0
127,DKYE_genFeat1_HDZYFZE_max,0
128,DKYE_genFeat1_USAGE_RATE_max,0
129,DKYE_genFeat1_GJJRATE_max,0
130,DKYE_genFeat1_GJJRATE_min,0
131,DKYE_genFeat1_TOP_USER_min,0
132,DKYE_genFeat1_TOP_USER1_min,0
133,DKYE_genFeat1_USAGE_AMOUNT_min,0
134,DKYE_genFeat1_DKXE_min,0
135,DKYE_genFeat2_GRZHYE_max,0
136,DKYE_genFeat2_GRZHYE_min,0
137,DKYE_genFeat2_GRZHSNJZYE_max,0
138,DKYE_genFeat2_GRZHSNJZYE_min,0
139,DKYE_genFeat2_GRZHDNGJYE_max,0
140,DKYE_genFeat2_GRZHDNGJYE_min,0
141,DKYE_genFeat2_DKFFE_max,0
142,DKYE_genFeat2_HDYF_min,0
143,DKYE_genFeat2_HDZYFZE_max,0
144,DKYE_genFeat2_USAGE_RATE_max,0
145,DKYE_genFeat2_GJJRATE_max,0
146,DKYE_genFeat2_GJJRATE_min,0
147,DKYE_genFeat2_TOP_USER_min,0
148,DKYE_genFeat2_TOP_USER1_min,0
149,DKYE_genFeat2_USAGE_AMOUNT_min,0
150,DKYE_genFeat2_DKXE_min,0
151,DKYE_genFeat3_GRZHYE_max,0
152,DKYE_genFeat3_GRZHYE_min,0
153,DKYE_genFeat3_GRZHSNJZYE_max,0
154,DKYE_genFeat3_GRZHSNJZYE_min,0
155,DKYE_genFeat3_GRZHDNGJYE_max,0
156,DKYE_genFeat3_GRZHDNGJYE_min,0
157,DKYE_genFeat3_DKFFE_max,0
158,DKYE_genFeat3_HDYF_min,0
159,DKYE_genFeat3_HDZYFZE_max,0
160,DKYE_genFeat3_USAGE_RATE_max,0
161,DKYE_genFeat3_GJJRATE_max,0
162,DKYE_genFeat3_GJJRATE_min,0
163,DKYE_genFeat3_TOP_USER_min,0
164,DKYE_genFeat3_TOP_USER1_min,0
165,DKYE_genFeat3_USAGE_AMOUNT_min,0
166,DKYE_genFeat3_DKXE_min,0
167,DKYE_genFeat4_GRZHYE_max,0
168,DKYE_genFeat4_GRZHYE_min,0
169,DKYE_genFeat4_GRZHSNJZYE_max,0
170,DKYE_genFeat4_GRZHSNJZYE_min,0
171,DKYE_genFeat4_GRZHDNGJYE_max,0
172,DKYE_genFeat4_GRZHDNGJYE_min,0
173,DKYE_genFeat4_DKFFE_max,0
174,DKYE_genFeat4_HDYF_min,0
175,DKYE_genFeat4_HDZYFZE_max,0
176,DKYE_genFeat4_USAGE_RATE_max,0
177,DKYE_genFeat4_GJJRATE_max,0
178,DKYE_genFeat4_GJJRATE_min,0
179,DKYE_genFeat4_TOP_USER_min,0
180,DKYE_genFeat4_TOP_USER1_min,0
181,DKYE_genFeat4_USAGE_AMOUNT_min,0
182,DKYE_genFeat4_DKXE_min,0
183,DKYE_genFeat5_GRZHYE_max,0
184,DKYE_genFeat5_GRZHYE_min,0
185,DKYE_genFeat5_GRZHSNJZYE_max,0
186,DKYE_genFeat5_GRZHSNJZYE_min,0
187,DKYE_genFeat5_GRZHDNGJYE_max,0
188,DKYE_genFeat5_GRZHDNGJYE_min,0
189,DKYE_genFeat5_DKFFE_max,0
190,DKYE_genFeat5_HDYF_min,0
191,DKYE_genFeat5_HDZYFZE_max,0
192,DKYE_genFeat5_USAGE_RATE_max,0
193,DKYE_genFeat5_GJJRATE_max,0
194,DKYE_genFeat5_GJJRATE_min,0
195,DKYE_genFeat5_TOP_USER_min,0
196,DKYE_genFeat5_TOP_USER1_min,0
197,DKYE_genFeat5_USAGE_AMOUNT_min,0
198,DKYE_genFeat5_DKXE_min,0
199,DKYE_genFeat6_GRZHYE_max,0
200,DKYE_genFeat6_GRZHYE_min,0
201,DKYE_genFeat6_GRZHSNJZYE_max,0
202,DKYE_genFeat6_GRZHSNJZYE_min,0
203,DKYE_genFeat6_GRZHDNGJYE_max,0
204,DKYE_genFeat6_GRZHDNGJYE_min,0
205,DKYE_genFeat6_DKFFE_max,0
206,DKYE_genFeat6_HDYF_min,0
207,DKYE_genFeat6_HDZYFZE_max,0
208,DKYE_genFeat6_USAGE_RATE_max,0
209,DKYE_genFeat6_GJJRATE_max,0
210,DKYE_genFeat6_GJJRATE_min,0
211,DKYE_genFeat6_TOP_USER_min,0
212,DKYE_genFeat6_TOP_USER1_min,0
213,DKYE_genFeat6_USAGE_AMOUNT_min,0
214,DKYE_genFeat6_DKXE_min,0
215,DKYE_genFeat7_GRZHYE_min,0
216,DKYE_genFeat7_GRZHDNGJYE_min,0
217,DKYE_genFeat7_DKFFE_max,0
218,DKYE_genFeat7_HDZYFZE_max,0
219,DKYE_genFeat7_GJJRATE_min,0
220,DKYE_genFeat7_TOP_USER_min,0
221,DKYE_genFeat7_TOP_USER1_min,0
222,DKYE_genFeat7_DKXE_min,0
223,DKFFE_genFeat1_GRZHYE_min,0
224,DKFFE_genFeat1_GRZHSNJZYE_min,0
225,DKFFE_genFeat1_GRZHDNGJYE_min,0
226,DKFFE_genFeat1_DKYE_min,0
227,DKFFE_genFeat1_HDSYYF_min,0
228,DKFFE_genFeat1_HDYF_min,0
229,DKFFE_genFeat1_HDSYYFZE_min,0
230,DKFFE_genFeat1_USAGE_RATE_max,0
231,DKFFE_genFeat1_USAGE_RATE_min,0
232,DKFFE_genFeat1_GJJRATE_min,0
233,DKFFE_genFeat1_TOP_USER_min,0
234,DKFFE_genFeat1_TOP_USER1_min,0
235,DKFFE_genFeat1_USAGE_AMOUNT_min,0
236,DKFFE_genFeat1_DKXE_min,0
237,DKFFE_genFeat2_GRZHYE_min,0
238,DKFFE_genFeat2_GRZHSNJZYE_min,0
239,DKFFE_genFeat2_GRZHDNGJYE_min,0
240,DKFFE_genFeat2_DKYE_min,0
241,DKFFE_genFeat2_HDSYYF_min,0
242,DKFFE_genFeat2_HDYF_min,0
243,DKFFE_genFeat2_HDSYYFZE_min,0
244,DKFFE_genFeat2_USAGE_RATE_max,0
245,DKFFE_genFeat2_USAGE_RATE_min,0
246,DKFFE_genFeat2_GJJRATE_max,0
247,DKFFE_genFeat2_GJJRATE_min,0
248,DKFFE_genFeat2_TOP_USER_min,0
249,DKFFE_genFeat2_TOP_USER1_min,0
250,DKFFE_genFeat2_USAGE_AMOUNT_min,0
251,DKFFE_genFeat2_DKXE_min,0
252,DKFFE_genFeat3_GRZHYE_max,0
253,DKFFE_genFeat3_GRZHYE_min,0
254,DKFFE_genFeat3_GRZHSNJZYE_max,0
255,DKFFE_genFeat3_GRZHSNJZYE_min,0
256,DKFFE_genFeat3_GRZHDNGJYE_min,0
257,DKFFE_genFeat3_DKYE_min,0
258,DKFFE_genFeat3_HDSYYF_min,0
259,DKFFE_genFeat3_HDYF_min,0
260,DKFFE_genFeat3_HDSYYFZE_min,0
261,DKFFE_genFeat3_USAGE_RATE_max,0
262,DKFFE_genFeat3_USAGE_RATE_min,0
263,DKFFE_genFeat3_GJJRATE_max,0
264,DKFFE_genFeat3_GJJRATE_min,0
265,DKFFE_genFeat3_TOP_USER_min,0
266,DKFFE_genFeat3_TOP_USER1_min,0
267,DKFFE_genFeat3_USAGE_AMOUNT_min,0
268,DKFFE_genFeat3_DKXE_min,0
269,DKFFE_genFeat4_GRZHYE_max,0
270,DKFFE_genFeat4_GRZHYE_min,0
271,DKFFE_genFeat4_GRZHSNJZYE_max,0
272,DKFFE_genFeat4_GRZHSNJZYE_min,0
273,DKFFE_genFeat4_GRZHDNGJYE_max,0
274,DKFFE_genFeat4_GRZHDNGJYE_min,0
275,DKFFE_genFeat4_DKYE_min,0
276,DKFFE_genFeat4_HDSYYF_min,0
277,DKFFE_genFeat4_HDYF_min,0
278,DKFFE_genFeat4_HDSYYFZE_min,0
279,DKFFE_genFeat4_USAGE_RATE_max,0
280,DKFFE_genFeat4_USAGE_RATE_min,0
281,DKFFE_genFeat4_GJJRATE_max,0
282,DKFFE_genFeat4_GJJRATE_min,0
283,DKFFE_genFeat4_TOP_USER_min,0
284,DKFFE_genFeat4_TOP_USER1_min,0
285,DKFFE_genFeat4_USAGE_AMOUNT_min,0
286,DKFFE_genFeat4_DKXE_min,0
287,DKFFE_genFeat5_GRZHYE_max,0
288,DKFFE_genFeat5_GRZHYE_min,0
289,DKFFE_genFeat5_GRZHSNJZYE_max,0
290,DKFFE_genFeat5_GRZHSNJZYE_min,0
291,DKFFE_genFeat5_GRZHDNGJYE_max,0
292,DKFFE_genFeat5_GRZHDNGJYE_min,0
293,DKFFE_genFeat5_DKYE_min,0
294,DKFFE_genFeat5_HDSYYF_min,0
295,DKFFE_genFeat5_HDYF_min,0
296,DKFFE_genFeat5_HDSYYFZE_min,0
297,DKFFE_genFeat5_USAGE_RATE_max,0
